,adtv_bn
VIC,1009.7529418583333
SHB,599.7299424783332
VIX,550.5149640866667
FPT,464.9174701933334
HPG,462.72787441083335
TCB,462.26610580833335
VHM,457.97665684
VPB,402.29685810833337
SSI,390.0718726766666
GEX,294.1499386666667
HDB,283.34655257083335
STB,279.72222989166664
MWG,277.844091045
MSN,267.60361030166666
ACB,266.9359477533334
BSR,262.47506885
VCB,261.839544575
MBB,259.24370772916666
PNJ,248.70335771833334
CTG,246.61737263
VNM,233.31113876333333
VND,216.6431298608333
VCI,197.59040232
SHS,196.0605242583333
NVL,176.09612010166663
LPB,162.22076804833333
VJC,144.7525143883333
VRE,140.90305601000003
BID,139.67224423500002
TPB,132.84703451166666
CII,132.4914609266667
VSC,120.12052471999999
HCM,119.30734976585
POW,117.88936143666666
MBS,116.31556639968335
DXG,116.26107161916666
GAS,114.91999691000001
PLX,114.48554016833333
VPI,100.28942206333333
GEE,98.57828374333334
GMD,96.26354241333334
EIB,92.99282912166666
VIB,92.41560776
PVS,90.00909828638333
KDH,86.30110615833333
DCM,80.77372502999998
PVT,80.6959411425
MSB,80.03805455166668
TCX,79.80567994666667
VCK,79.20178409416667
PDR,78.41957548583333
PVD,77.54860020166666
DIG,72.39758433333333
CEO,71.90415853333333
DPM,71.01173459833333
ORS,69.02745001666666
GVR,64.01279233666666
GEL,63.28268173166666
VPL,59.036238
TCH,58.013270893333335
FRT,55.932631380000004
PC1,52.888448776666664
CTS,52.502502673333325
DGW,51.972344494999994
MCH,51.495665898333336
BAF,51.297717375
NLG,50.956711095833334
VCG,50.593681118333336
MSR,50.26852988689999
SSB,40.967019693333334
KBC,37.41473846666667
IDC,36.40702524431667
OCB,33.570992993333334
DCL,31.443647618333333
VPX,31.427643221666667
BVS,31.278856514999998
FTS,31.204153019999996
HAH,30.241313115
VC3,29.901868148183336
HAG,29.755078303333335
BVH,29.18815981
BCM,28.867439635833332
SAB,28.7259530825
DGC,28.511975874999997
HHV,28.254229285833336
DBC,28.218216376666664
HDG,27.398016513333335
HSG,26.88355339916666
VTP,26.442379665
ABB,26.155902790899997
CTD,25.04239439666667
HVN,24.516628754166668
NAB,24.310090804166666
VGI,23.744146895
HUT,23.688257373333336
OIL,23.5039942263
BVB,22.308731583333334
EVF,21.891538246666666
VTZ,21.102625841666665
ACV,19.924204225
NAF,19.481505148333333
REE,19.02151041833333
CTR,18.902025676666664
BMP,18.145201328333332
SBT,17.914242575
TCM,17.446653195
NKG,17.31480782
BSI,17.240469151666666
PET,17.156369455000004
MST,17.149870068333332
VDS,16.653065125833333
VHC,16.432985441666666
HHP,15.792672793333333
VGC,14.275293955
HDC,14.0590683675
KHG,12.871422332666667
DSE,12.802544298333334
IJC,12.767695416666665
DPG,12.707228785833335
VVS,12.699550661666667
PHR,12.135367340000002
DHC,11.958414843333333
KSF,11.933645631666666
HNG,11.756971935000001
PVP,11.506186360833334
F88,11.502014378333332
C69,11.274366718333333
HHS,10.970015813333333
DXS,10.942883485166664
NT2,10.693276808333334
ANV,10.295826454166667
KSB,10.252102399166668
AAS,9.97069104666667
QNS,8.536074270366667
BFC,8.282186733333333
PAN,8.175331078333333
AAA,8.133351085
DPR,8.132323970833333
PHP,8.120030360183334
VFS,8.055520193333333
KOS,7.868930226666667
NVB,7.8531759333333335
TNG,7.774323639133335
KDC,7.744246363333334
NRC,7.632634309999999
NTP,7.525667258333334
SZC,7.42840927
DRI,7.374431773333335
VEA,7.227251093333334
AGR,6.990224931666667
KLB,6.870558811666666
TDP,6.797902791666667
DDV,6.698903663900001
CSV,6.691671664166668
PVC,6.418699221666666
MZG,6.405509674433333
VAB,6.375506233333334
TLG,6.302125634166667
TVN,6.206659083333334
LCG,6.066959395166667
CTF,6.034424813333334
TNI,6.028885863166667
YEG,5.810720120166668
SCR,5.7577015860000005
FOX,5.287334451666667
HQC,5.233179247
SCS,5.186736979166667
NTL,5.035209351666667
VOS,4.9568810225
ELC,4.850022629999999
TAL,4.745789833333333
HSL,4.663568308
FCN,4.5883058075
CLI,4.557989523333332
ABW,4.478862005
BWE,4.412418746666666
HII,4.315860055833333
VIW,4.285021518333332
CSM,4.2674406425
SIP,4.09072782
CMG,4.032239605
CTI,3.9030835633333334
VGR,3.7656466693666673
TVS,3.653024926666667
KSV,3.5688618486333334
VGT,3.5412751255833332
TTA,3.4749528683333333
PPT,3.4706136566666665
TV2,3.4075201366666663
TVC,3.35081923
SCL,3.3333256966666664
TCO,3.2829481966666667
PSI,3.2524855183333337
MSH,3.2299337141666666
GEG,3.1969593991666665
CDC,3.185843945
AAN,3.1388362800000005
HPX,3.1102650386666664
TIG,3.041396481666667
SBS,2.9586501083333334
APS,2.9193575033333334
ASP,2.8420679755
SBG,2.822371401666667
AGG,2.780592008333333
HBC,2.7668611883333334
SHI,2.763520351666667
DXP,2.7261515800000002
HNM,2.7257240416666666
PTB,2.561303366666667
TIN,2.5430580349999996
VNZ,2.5153504583333337
TOS,2.4898508511833333
HVH,2.473582191666667
AAV,2.4534850266666663
EVG,2.4031813564999998
PAC,2.3624781775000003
HT1,2.335394023333333
PLC,2.321617361666666
CRC,2.2983995
ACC,2.2730812666666664
TRC,2.238784953333333
LHG,2.2105119866666665
L40,2.1948571833333332
LAS,2.1543514366666665
BIG,2.1169011883333333
SJS,2.103048118333333
VGS,2.0981968116666665
SHN,2.090622036666667
FOC,2.0834498470500002
THD,2.07613572
ASM,2.060840342666667
TDM,2.040045643333333
HPA,2.014344935
MIG,2.004621861666667
GIL,1.99211069
NCT,1.9821255766666666
POM,1.88129352
LDG,1.8720695223333335
QTP,1.8703090266666667
DRC,1.8231288924999998
EVS,1.7782913483333334
PCH,1.7467422750166668
DST,1.7301775250000002
PVB,1.72298654
BMS,1.7199809716666667
SMC,1.7134941866666669
DBD,1.69920602
AIG,1.67427085105
SCG,1.6538753716666665
TLD,1.639524243
IDJ,1.5885523916666666
APG,1.5598697756666664
APF,1.5528882616666668
VTD,1.5324862233333334
QCG,1.5283469833333334
NNC,1.52786295
VNE,1.5026382383333332
DTD,1.4933348000000002
DHA,1.4930548433333335
APH,1.4710424823333332
HID,1.4535077518333335
HTN,1.4092198683333332
NDN,1.4079818716666666
AFX,1.3946290808333333
DLG,1.3689786075
VLB,1.3288560662166666
PVI,1.321649858216667
L14,1.3102490900000001
C4G,1.300899903333333
TDC,1.2725949036666666
BDT,1.2306653483333332
NTC,1.2254701666666667
CRE,1.2192686913333333
VRC,1.2176488558333332
LSG,1.2146466316666666
DSH,1.1946320416666667
IDI,1.1721030698333335
RYG,1.1718876849999997
TSA,1.1624926666666668
MVN,1.1587843916666667
SVN,1.153531685
VCS,1.1531449783333332
VBB,1.13682873525
BMI,1.1367031950000002
PPC,1.082121518
HAX,1.0756203896666667
CQN,1.0607786383333333
MCM,1.0460079858333333
ABS,1.0459402563333333
CAP,1.030912505
BCE,1.028719213
TTF,1.0199950081666667
STH,1.01416051
DHB,1.011449465
FIR,1.0071018513333332
D2D,1.0065144816666667
TNH,0.9777003176666667
AAH,0.9239068116666668
PAT,0.8773774583166668
ADS,0.8676675436666668
DL1,0.865958085
VLC,0.8515095816666667
LHC,0.84627898
CTP,0.8424166416666667
VTO,0.8416315833333333
DVP,0.8295186233333334
NHA,0.8272267563333333
FIT,0.8196439356666667
