,HHV,HT1,VGC,PHR,VIC,GVR,BMP,SZC,DIG,HAH,NT2,PGV
2022-07-01,8.139,13.63,43.203,28.658,36.3,21.124,37.511,27.318,24.405,30.143,20.443,19.389
2022-07-04,8.385,14.035,43.366,27.42,36.35,20.937,37.446,27.197,24.471,29.001,20.159,19.389
2022-07-05,8.104,13.585,40.426,27.243,36.15,20.189,37.118,25.326,23.335,26.972,18.783,19.089
2022-07-06,7.788,13.45,37.609,27.155,33.75,19.488,37.38,25.175,23.335,25.112,18.135,19.014
2022-07-07,7.999,13.45,37.731,27.287,34.9,19.395,37.315,24.752,24.037,25.365,18.621,18.865
2022-07-08,8.42,13.855,38.14,28.172,35.0,19.815,37.315,26.413,25.708,25.661,18.742,19.239
2022-07-11,8.49,13.99,38.915,27.774,35.0,19.582,36.003,27.167,26.812,25.239,17.973,19.613
2022-07-12,8.981,14.35,41.243,29.322,34.95,20.937,36.396,29.069,28.684,26.972,18.742,20.287
2022-07-13,9.578,14.575,41.325,28.968,34.75,21.077,36.396,29.039,27.815,26.972,18.621,20.511
2022-07-14,9.648,14.395,41.406,28.304,34.75,21.685,36.724,29.733,28.349,26.676,19.512,20.825
2022-07-15,9.437,14.395,41.243,28.304,34.8,21.638,36.724,29.703,28.049,26.211,19.309,20.353
2022-07-18,10.069,14.575,41.325,28.127,34.0,21.685,36.724,30.005,26.511,26.507,19.269,20.118
2022-07-19,9.893,14.575,44.183,29.233,34.4,21.685,36.462,30.608,27.246,27.056,20.605,19.96
2022-07-20,9.893,14.665,45.898,28.747,34.1,22.246,37.38,29.944,28.082,28.705,20.847,19.921
2022-07-21,9.718,14.665,47.776,29.41,34.25,22.152,37.708,29.763,29.691,28.113,20.483,19.607
2022-07-22,9.964,14.44,47.531,29.189,33.25,21.965,38.036,30.246,29.12,27.902,20.24,19.803
2022-07-25,10.104,14.17,46.551,29.189,33.65,21.311,38.626,30.095,28.712,27.817,21.05,19.725
2022-07-26,10.314,14.215,45.898,28.924,33.05,21.264,38.692,29.824,28.631,28.156,20.524,19.725
2022-07-27,10.385,14.215,49.083,28.924,33.25,21.591,38.561,29.28,29.773,27.226,21.009,19.646
2022-07-28,10.42,14.485,49.573,29.897,33.5,22.386,38.298,31.272,31.771,27.606,21.293,19.607
2022-07-29,10.244,14.53,49.982,29.587,32.0,22.339,39.282,31.212,31.241,27.902,21.05,19.528
2022-08-01,10.385,14.845,49.655,30.073,32.35,23.087,40.331,32.238,32.26,28.198,21.212,19.607
2022-08-02,10.525,15.025,49.41,30.25,33.3,23.18,39.872,31.755,32.301,28.663,21.859,19.607
2022-08-03,10.665,15.115,49.9,30.869,33.0,23.087,41.249,31.997,32.22,29.466,21.536,19.646
2022-08-04,10.806,15.025,47.45,30.516,33.2,22.993,41.249,31.272,32.342,29.255,21.252,19.646
2022-08-05,10.806,15.115,47.94,30.825,32.7,23.134,41.249,31.695,33.484,28.959,21.293,19.489
2022-08-08,10.911,15.295,47.613,30.958,32.3,23.461,40.725,31.635,33.239,29.551,21.819,20.353
2022-08-09,10.946,15.115,48.103,30.427,32.65,23.601,41.315,32.118,33.402,29.635,21.536,20.353
2022-08-10,10.981,15.295,48.185,30.648,32.4,23.414,41.577,32.54,34.34,29.17,21.536,19.96
2022-08-11,10.7,15.07,50.635,29.941,32.9,23.087,41.643,31.574,32.628,28.536,21.05,19.646
